Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,20,766838.97,66,38342,13,587055.88,49,45158,
Cavan,29,1761955.56,62,60757,20,1089207.05,51,54460,
Clare,37,3533916.35,66,95511,23,1312180.52,52,57051,
Cork,184,9619313.24,66,52279,110,7585210.16,54,68956,
Donegal,50,3653639.82,63,73073,45,2161710.14,49,48038,
Dublin,682,46837522.84,68,68677,221,16173775.19,53,73184,
Galway,45,2898846.88,63,64419,39,2773911.18,52,71126,
Kerry,38,2015997.62,63,53053,40,1961228.04,52,49031,
Kildare,88,6466602.1,63,73484,34,2097537.45,52,61692,
Kilkenny,26,1826076.76,68,70234,17,1051046.25,51,61826,
Laois,29,1825649.71,66,62953,15,1518386.26,49,101226,
Leitrim,10,1312612.94,51,131261,6,517798.44,46,86300,
Limerick,64,4512159.22,64,70502,29,1702467.11,53,58706,
Longford,22,873466.31,65,39703,22,1475902.11,50,67086,
Louth,65,3548686.71,65,54595,27,1315173.1,54,48710,
Mayo,40,2921475.52,59,73037,39,2312490.05,52,59295,
Meath,59,6166574.91,57,104518,41,3024341.15,54,73764,
Monaghan,31,1352893.98,61,43642,24,1120256.58,53,46677,
Offaly,29,1357915.15,61,46825,8,432131.26,46,54016,
Roscommon,14,471875.75,60,33705,10,373753,62,37375,
Sligo,20,2238112.22,70,111906,9,738826,52,82092,
Tipperary,48,2172121.32,68,45253,42,2224091.78,52,52955,
Waterford,27,1587583.3,67,58799,21,1064048.72,54,50669,
Westmeath,39,2467989.12,64,63282,13,367439.93,60,28265,
Wexford,52,3279136.22,62,63060,30,1638352.77,53,54612,
Wicklow,41,2044779.35,70,49873,16,1292039.76,54,80752,
